Country Name,Country Code,"Life expectancy at birth, total (years)","GDP per capita, PPP"
Portugal,PRT,81.07317073,33681.02883
Puerto Rico,PRI,80.162,32766.66589
Qatar,QAT,79.272,92862.5718
Romania,ROU,72.96097561,30974.37069
Russian Federation,RUS,69.36121951,28193.83789
Rwanda,RWA,66.072,2237.703214
Samoa,WSM,72.767,5534.222889
San Marino,SMR,..,61609.01218
Sao Tome and Principe,STP,67.591,4052.123362
Saudi Arabia,SAU,76.936,46587.15277
Senegal,SEN,67.093,3511.637424
Serbia,SRB,72.73073171,19827.75685
Seychelles,SYC,73.39756098,27643.35453
Sierra Leone,SLE,60.062,1614.85983
Singapore,SGP,83.44146341,107741.1184
Sint Maarten (Dutch part),SXM,73.972,32688.91721
Slovak Republic,SVK,74.71463415,32534.95381
Slovenia,SVN,80.87560976,40036.48544
Solomon Islands,SLB,70.348,2397.322824
Somalia,SOM,55.28,1136.735989
South Africa,ZAF,62.341,13311.9257
South Sudan,SSD,54.975,..
Spain,ESP,83.17804878,37933.47021
Sri Lanka,LKA,76.399,13250.62985
St. Kitts and Nevis,KNA,71.682,26486.13258
St. Lucia,LCA,71.111,13045.93171
St. Martin (French part),MAF,80.379,..
St. Vincent and the Grenadines,VCT,69.629,13833.83128
Sudan,SDN,65.267,3701.069092
Suriname,SUR,70.274,14766.748
Sweden,SWE,83.15609756,53771.98133
Switzerland,CHE,83.85121951,70097.36875
Syrian Arab Republic,SYR,72.063,..
Tajikistan,TJK,71.594,3910.462718
Tanzania,TZA,66.201,2583.344482
Thailand,THA,78.715,17087.21095
Timor-Leste,TLS,67.737,5032.410223
Togo,TGO,61.619,2136.626188
Tonga,TON,70.986,6142.963537
Trinidad and Tobago,TTO,72.971,23037.1433
Tunisia,TUN,73.772,10395.9143
Turkiye,TUR,76.032,31466.55992
Turkmenistan,TKM,69.264,..
Turks and Caicos Islands,TCA,74.587,19758.92257
Tuvalu,TUV,64.547,4604.401249
Uganda,UGA,62.705,2246.414111
Ukraine,UKR,69.64780488,12949.32617
United Arab Emirates,ARE,78.71,69733.79377
United Kingdom,GBR,80.7,44949.09304
United States,USA,76.32926829,63635.82381
Uruguay,URY,75.436,23257.25641
Uzbekistan,UZB,70.862,7800.501501
Vanuatu,VUT,70.449,2800.493866
"Venezuela, RB",VEN,70.554,..
Vietnam,VNM,73.618,10628.21917
Virgin Islands (U.S.),VIR,80.06829268,..
West Bank and Gaza,PSE,73.473,5641.0444
"Yemen, Rep.",YEM,63.753,..
Zambia,ZMB,61.223,3236.788981
Zimbabwe,ZWE,59.253,2115.144555
