Year,eu,argentina,brazil
1900,547393877,436414138,64998422
1910,594753596,474222906,77591234
1920,659157743,489229454,91168073
1930,704201243,526240276,109797863
1940,766747939,566374526,131946987
1950,839528911,595402538,167799438
1960,1021442216,665942434,219080863
1970,1280165750,736196696,285722835
1980,1540177846,791447004,361441805
1990,1817430613,841398939,441491220
2000,2026416405,861118777,521273687
2010,2196097404,887745611,589276426
2020,2352370407,920690065,650518373
